Game,Rating,Number of Reviews,Price
NecroDancer ULTIMATE PACK,96%,"13,105",$55.94
NecroDancer AMPLIFIED PACK,96%,"12,979",$20.88
Crypt of the NecroDancer,96%,"12,700",$14.99
Plants vs. Zombies GOTY Edition,96%,"12,431",$4.99
Relaxing Puzzle Box,96%,"12,149",$6.73
Dust: An Elysian Tail,96%,"11,202",$14.99
Duck Game,96%,"10,849",$12.99
Absolute Despair Collection,96%,"10,097",$62.97
The Zachtronics Puzzle Pack,96%,"8,053",$61.55
Shovel Knight: Treasure Trove,96%,"7,790",$24.99
Trine Enchanted Edition,96%,"7,489",$14.99
Nuclear Throne,96%,"7,137",$11.99
Detention,96%,"6,820",$11.99
DEEP SPACE WAIFU BUNDLE,96%,"6,518","$5.97
$4.65"
DEEP SPACE WAIFU,96%,"6,228","$1.99
$1.19"
LYNE,96%,"6,161",$2.99
Superflight,96%,"4,801",$2.99
Psychonauts,96%,"4,623",$9.99
Recettear: An Item Shop's Tale,96%,"4,529",$19.99
Danganronpa 2: Goodbye Despair,96%,"4,192",$19.99
Downwell,96%,"4,141",$2.99
Fran Bow,96%,"4,113",$14.99
VVVVVV,96%,"4,029",$4.99
Kingdom Rush,96%,"3,700",$9.99
Euro Truck Simulator 2 - Scandinavia,96%,"3,483",$17.99
Devil Daggers,96%,"3,420",$4.99
Stronghold Crusader HD,96%,"3,286",$9.99
PAC-MAN Championship Edition DX+ All You Can Eat Edition Bundle,96%,"3,237",$14.99
GRIS,96%,"3,035",$16.99
Supreme Commander: Forged Alliance,96%,"2,967",$12.99
Hexcells,96%,"2,913",$2.99
"Hot Dogs, Horseshoes & Hand Grenades",96%,"2,782",$19.99
Crawl,96%,"2,790",$14.99
Don't Starve: Shipwrecked,96%,"2,741",$4.99
Freedom Planet,96%,"2,370",$14.99
Defender's Quest: Valley of the Forgotten (DX edition),96%,"2,090",$14.99
Creeper World 3: Arc Eternal,96%,"1,915",$14.99
GemCraft - Chasing Shadows,96%,"1,870",$9.99
Crazy Machines 3,96%,"1,784",$9.99
SpaceChem,96%,"1,773",$9.99
X-COM: UFO Defense,96%,"1,721",$4.99
Doom & Destiny,96%,"1,468",$9.99
SHENZHEN I/O,96%,"1,475",$14.99
Just Shapes & Beats,96%,"1,453",$19.99
SteamWorld Heist,96%,"1,441",$14.99
Mirror: The Lost Shards,96%,"1,420",$1.99
Contradiction - Spot The Liar!,96%,"1,381",$9.99
