,Mario Kart 8 Deluxe,Super Mario Odyssey ,Mario + Rabbids Kingdom Battle,Mario Tennis Aces,Captain Toad: Treasure Tracker,Super Smash Bros. Ultimate,Super Mario Party,New Super Mario Bros U Deluxe,Yoshi,Luigi's Mansion 3 
Mario Kart 8 Deluxe Video Game for Nintendo Switch System Region Free,2.8284271247461903,3.4641016151377544,3.605551275463989,3.4641016151377544,3.872983346207417,3.872983346207417,3.4641016151377544,3.4641016151377544,3.4641016151377544,3.605551275463989
Nintendo Mario Kart 8 Deluxe - Nintendo Switch (Game Only) (6051-SM44),3.0,3.605551275463989,3.7416573867739413,3.605551275463989,4.0,4.0,3.605551275463989,3.605551275463989,3.605551275463989,3.7416573867739413
Super Mario Party (Nintendo Switch) $̶5̶9̶.̶9̶9̶ ~ $50 ~,2.6457513110645907,2.23606797749979,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,1.7320508075688772,2.6457513110645907,2.6457513110645907,2.8284271247461903
"Lot of 3 Nintendo Switch Mario Games Party, MarioKart & Odyssey Cartridges Only",3.4641016151377544,3.1622776601683795,3.605551275463989,3.4641016151377544,3.872983346207417,3.872983346207417,3.1622776601683795,3.7416573867739413,3.4641016151377544,3.605551275463989
Mario Kart 8 Deluxe Nintendo Switch Video Game Sealed Import Region Free,2.8284271247461903,3.4641016151377544,3.605551275463989,3.4641016151377544,3.872983346207417,3.872983346207417,3.4641016151377544,3.4641016151377544,3.4641016151377544,3.605551275463989
Mario Kart 8 Deluxe and Donkey Kong Video Games for Nintendo Switch,2.8284271247461903,3.4641016151377544,3.605551275463989,3.4641016151377544,3.872983346207417,3.872983346207417,3.4641016151377544,3.4641016151377544,3.4641016151377544,3.605551275463989
Switch Mario Kart 8 Deluxe Steelbook - Brand New - No Game,2.449489742783178,3.1622776601683795,3.3166247903554,3.1622776601683795,3.605551275463989,3.605551275463989,3.1622776601683795,2.8284271247461903,3.1622776601683795,3.3166247903554
Mario + Rabbids: Kingdom Battle Switch [Factory Refurbished],2.8284271247461903,2.8284271247461903,1.7320508075688772,2.8284271247461903,3.3166247903554,3.3166247903554,2.8284271247461903,3.1622776601683795,2.8284271247461903,3.0
Nintendo Mario Tennis Aces for Nintendo Switch System Region Free,3.605551275463989,3.605551275463989,3.7416573867739413,3.0,4.0,4.0,3.605551275463989,3.872983346207417,3.605551275463989,3.7416573867739413
"Super Mario Odyssey (Nintendo Switch, 2017)",2.6457513110645907,1.7320508075688772,2.8284271247461903,2.6457513110645907,3.1622776601683795,2.8284271247461903,2.23606797749979,2.6457513110645907,2.6457513110645907,2.8284271247461903
